indx	section	hits	choices (récupérés des fichiers html sur base de la classe "choice")	traduction auto (via google translate)	choix remaniés (manuellement à la mimine)	nb.car	choix remaniés (manuellement à la mimine avant raccourcissement)	RAF
1	1	2	If you wish to investigate the hut,	Si vous souhaitez enquêter sur la cabane,	explorer la cabane	18	explorer la cabane	
2	1	2	If you wish to ignore the hut and continue on your ride along the Ruanon Pike,	Si vous souhaitez ignorer la cabane et continuez sur votre promenade le long de la Ruanon Pike,	l'ignorer et continuer la route	31	ignorer la cabane et continuer le long de la voie de Ruanon	
3	6	2	If you wish to investigate the wagon,	Si vous souhaitez enquêter sur le wagon,	examiner le chariot	19	examiner le chariot	
4	6	2	If you decide to ignore the wagon and ride south along the highway,	Si vous décidez d'ignorer le wagon et monter au sud le long de la route,	l'ignorer et poursuivre vers le sud	35	ignorer le chariot et poursuivre vers le sud par la route	
5	8	2	If you wish to enter the tunnel,	Si vous souhaitez entrer dans le tunnel,	entrer dans le tunnel	21	entrer dans le tunnel	
6	8	2	If you decide not to enter the tunnel, you can return to the rowing boat and continue along the underground river by	Si vous décidez de ne pas entrer dans le tunnel, vous pouvez retourner au bateau d'aviron et continuer le long de la rivière souterraine par	continuer sur la rivière	24	ne pas entrer dans le tunnel, retourner au bateau et continuer sur la rivière souterraine	
7	9	2	If you wish to tighten your grip and brace yourself for the shock of impact,	Si vous souhaitez serrer la poignée et accrochez-vous pour le choc de l'impact,	serrer la poignée (et les dents)	32	serrer la poignée et s'accrocher pour le choc de l'impact	
8	9	2	If you decide to leap clear of the swinging bridge into the unknown depth of the mine shaft,	Si vous décidez de sauter clair du pont oscillant dans la profondeur inconnue de l'arbre de la mine,	plonger dans les profondeurs de la mine	39	sauter du pont et plonger dans les profondeurs inconnues du puits de la mine	
9	14	2	If you wish to evade combat at any time, you can dive into the River Xane by	Si vous souhaitez combat evade à tout moment, vous pouvez plonger dans la rivière par Xane	(ATM) plonger dans la rivière	29	(à tout moment) fuir le combat en plongeant dans la rivière Xane	
13	16	2	If you wish to run straight into the forest,	Si vous souhaitez exécuter directement dans la forêt,	avancer tout droit dans la forêt	32	se précipiter dans la forêt	
14	16	2	If you wish to try to change direction as soon as the trees hide you from your pursuers,	Si vous souhaitez essayer de changer de direction dès que les arbres que vous cachez vos poursuivants,	changer de direction dans la forêt	34	essayer de changer de direction dès que les arbres nous cachent de nos poursuivants	
16	21	3	If you wish to follow it east,	Si vous souhaitez suivre l'est,	suivre le sentier vers l'est	28	suivre le sentier vers l'est	
17	21	3	If you wish to it west,	Si vous souhaitez l'ouest,	suivre le sentier vers l'ouest	30	suivre le sentier vers l'ouest	
18	24	3	If you have the Kai Discipline of Healing, you can help this wounded soldier by	Si vous avez le Kai Discipline de guérison, vous pouvez aider ce soldat blessé par	aider le soldat blessé (si Guérison)	36	aider le soldat blessé (discipline Kai de guérison)	oui
19	24	3	If you wish to continue up the stairs to the watchtower roof,	Si vous souhaitez continuer à monter les escaliers sur le toit de mirador,	continuer à monter vers le toit	31	continuer à monter les escaliers vers le toit de la tour de guet	oui
20	24	3	If you wish to pick up the wounded archer’s bow and man his position at the arrow slit,	Si vous souhaitez prendre l'arc de l'archer et l'homme blessé sa position à la fente de flèche,	se mettre à la meurtrière avec l'arc	36	prendre l'arc de l'archer blessé et prendre son poste à la meurtrière	oui
21	25	2	If you wish to set up camp for the night in the shelter of the ruins,	Si vous souhaitez mettre en place le camp pour la nuit à l'abri des ruines,	établir le camp	15	établir le camp pour la nuit à l'abri des ruines	
22	25	2	If you wish to avoid the temple and continue,	Si vous souhaitez éviter le temple et continuer,	éviter le temple et continuer	29	éviter le temple et continuer	
24	29	3	If you wish to continue in the dark,	Si vous souhaitez continuer dans l'obscurité,	continuer dans l'obscurité	26	continuer dans l'obscurité	oui
25	29	3	If you wish to leave the vault and attempt an entry via the guarded crypt door,	Si vous souhaitez quitter la chambre forte et de tenter une entrée par la porte gardée crypte,	entrer par la porte gardée	26	quitter l'endroit et tenter d'entrer par la porte gardée de la crypte	oui
26	33	3	If you wish to set up camp at the edge of the forest,	Si vous souhaitez mettre en place le camp au bord de la forêt,	établir le camp	15	établir le camp au bord de la forêt	
27	33	3	If you wish to send some men into the valley to scout for bandits,	Si vous souhaitez envoyer des hommes dans la vallée de scout pour les bandits,	envoyer des éclaireurs dans la vallée	37	envoyer des hommes en éclaireur dans la vallée pour les bandits	
28	33	3	If you decide to go without food and sleep and press on to Ruanon as quickly as possible,	Si vous décidez d'aller sans nourriture et de sommeil et appuyez sur Ruanon le plus rapidement possible,	poursuivre vers Ruanon sans halte	33	ne pas se nourrir ou dormir et poursuivre vers Ruanon le plus rapidement possible	
29	34	2	If you wish to continue along the corridor,	Si vous souhaitez continuer le long du corridor,	continuer le long du corridor	29	continuer le long du corridor	oui
30	34	2	If you wish to leave the vault and attempt to enter the temple via the guarded crypt door,	Si vous souhaitez quitter la chambre forte et essayez d'entrer dans le temple par la porte gardée crypte,	entrer par la porte gardée	26	quitter l'endroit et essayer d'entrer dans le temple par la porte gardée de la crypte	oui
33	37	2	If you wish to set up camp with the troubadours,	Si vous souhaitez mettre en place le camp avec les troubadours,	établir le camp avec les troubadours	36	établir le camp avec les troubadours	
34	37	2	If you decide to press on to Ruanon,	Si vous décidez de presse à Ruanon,	poursuivre vers Ruanon	22	poursuivre vers Ruanon	
35	38	2	If you wish to continue along the highway, riding full speed for Ruanon,	Si vous souhaitez continuer sur la route, à cheval pleine vitesse pour Ruanon,	chevaucher sur la grand-route	29	continuer de chevaucher à pleine vitesse vers Ruanon	
36	38	2	If you wish to avoid the main highway and continue by the eastern track,	Si vous souhaitez éviter la route principale et continuez par la piste est,	prendre la piste vers l'est	27	éviter la route principale et continuer par la piste est	
38	40	3	If you wish to follow the wagon track into the west tunnel,	Si vous souhaitez suivre la piste de wagon dans le tunnel ouest,	suivre les rails dans le tunnel ouest	37	suivre les rails du wagon dans le tunnel ouest	
39	40	3	If you wish to climb the stairs to the balcony and explore the passage,	Si vous souhaitez monter les escaliers sur le balcon et d'explorer le passage,	grimper vers le balcon et le passage	36	monter les escaliers vers le balcon et explorer le passage	
45	51	3	If you wish to investigate the ridge,	Si vous souhaitez enquêter sur la crête,	explorer l'éminence	19	explorer l'éminence	
46	51	3	If you would rather ignore the birds and press on,	Si vous préférez ignorer les oiseaux et appuyez sur,	ignorer les oiseaux et poursuivre	33	ignorer les oiseaux et poursuivre	
48	54	3	If you do not have this skill, or if you have yet to reach the rank of Kai Warmarn, you can risk walking through the fungi by	Si vous ne possédez pas cette compétence, ou si vous avez encore atteint le rang de Kai Warmarn, vous pouvez risquer la marche à travers les champignons par	avancer au milieu des champignons	33	poursuivre le chemin au milieu des champignons	
49	54	3	Alternatively, if you wish, you may eat some of the fungi by	Sinon, si vous le souhaitez, vous pouvez manger des champignons par	manger des champignons	22	manger des champignons	
50	55	2	If you wish to dive into one of the empty ore wagons,	Si vous souhaitez plonger dans l'un des wagons de minerai vides,	grimper dans l'un des wagons	28	plonger dans l'un des wagons de minerai vides	
51	55	2	If you wish to hide in the shadows of the rough tunnel wall,	Si vous souhaitez cacher dans l'ombre de la paroi du tunnel rugueux,	se cacher dans l'ombre du tunnel 	33	se cacher dans l'ombre de la paroi du tunnel 	
54	58	2	If you wish to enter the large caravan,	Si vous souhaitez entrer dans la grande caravane,	entrer dans la grande caravane	30	entrer dans la grande caravane	
55	58	2	If you decide to investigate the smaller coach,	Si vous décidez d'enquêter sur l'entraîneur plus petit,	inspecter la plus petite	24	inspecter la plus petite	
56	61	3	If you wish to hack at the tentacle that is coiled around the ranger’s foot,	Si vous souhaitez pirater le tentacule qui est enroulé autour du pied du garde forestier,	dénouer le tentacule du patrouilleur	36	retirer le tentacule enroulée autour du pied du patrouilleur	
57	61	3	If you wish to aid the unconscious ranger lying at your feet,	Si vous souhaitez aider le mensonge de ranger inconscient à vos pieds,	aider le patrouilleur inconscient	33	aider le patrouilleur inconscient allongé à nos pieds	
58	61	3	If you wish to grab the oars and row for the bank,	Si vous souhaitez saisir les rames et la ligne de la banque,	ramer vers la berge	19	saisir les rames et ramer vers la berge	
59	64	2	If you wish to ascend the stairs,	Si vous souhaitez monter les escaliers,	monter les escaliers	20	monter les escaliers	
60	64	2	If you wish to descend the stairs,	Si vous souhaitez descendre les escaliers,	descendre les escaliers	23	descendre les escaliers	
61	68	2	If you wish to launch the rowing boat,	Si vous souhaitez lancer le bateau à rames,	mettre le bateau à l'eau	24	mettre le bateau à l'eau	
62	68	2	If you wish to search the boathouse for other useful items,	Si vous souhaitez rechercher le hangar à bateaux pour d'autres objets utiles,	fouiller le hangar à bateaux	28	fouiller le hangar à bateaux	
63	69	2	If you wish to pull the rope,	Si vous souhaitez tirer sur la corde,	tirer sur la corde	18	tirer sur la corde	
64	69	2	If you wish to ignore the rope and escape into the tunnel,	Si vous souhaitez ignorer la corde et d'évasion dans le tunnel,	l'ignorer et s'enfuir par le tunnel	35	ignorer la corde et s'évader par le tunnel	
65	74	3	If you wish to search the wrecked wagon,	Si vous souhaitez rechercher le wagon naufragé,	fouiller les débris du chariot	30	fouiller les débris du chariot	
66	74	3	If you wish to ignore the wagon and continue along the highway,	Si vous souhaitez ignorer le wagon et continuer le long de la route,	l'ignorer et continuer sur la route	35	ignorer le chariot et continuer sur la route	
67	74	3	If you wish to investigate the track leading into the hills,	Si vous souhaitez enquêter sur la piste menant dans les collines,	explorer le sentier vers les collines	37	examiner le sentier menant dans les collines	
68	76	2	If you wish to search them,	Si vous souhaitez les rechercher,	fouiller les brigands	21	les fouiller	
69	76	2	If you wish to leave the chamber,	Si vous souhaitez quitter la chambre,	quitter les lieux	17	quitter les lieux	
70	77	2	You may evade combat after 2 rounds by	Vous pouvez échapper à un combat après 2 tours par	(après 2 tours) fuir le combat	30	(après 2 tours) fuir le combat	oui
72	81	2	If you wish to knock away the roof prop,	Si vous souhaitez frapper loin l'hélice du toit,	essayer d'abattre l'étai	24	essayer d'abattre l'étai	
73	81	2	If you decide to ignore the prop and press on along the tunnel,	Si vous décidez d'ignorer l'hélice et appuyez sur le long du tunnel,	l'ignorer et poursuivre dans le tunnel	38	ignorer l'étai et poursuivre le long du tunnel	
74	82	3	If you wish to investigate the wagon,	Si vous souhaitez enquêter sur le wagon,	examiner le chariot	19	examiner le chariot	
75	82	3	If you decide to ignore the wagon and continue,	Si vous décidez d'ignorer le wagon et continuer,	l'ignorer et continuer	22	ignorer le chariot et continuer sur la route	
76	82	3	If you wish to explore the hill track,	Si vous souhaitez explorer la piste de la colline,	explorer le sentier de la colline	33	explorer le sentier de la colline	
78	87	3	If you wish to enter the left tunnel,	Si vous souhaitez entrer dans le tunnel à gauche,	prendre le tunnel de gauche	27	entrer dans le tunnel à gauche	
79	87	3	If you wish to enter the right tunnel,	Si vous souhaitez entrer dans le tunnel à droite,	prendre le tunnel de droite	27	entrer dans le tunnel à droite	
80	91	2	If you wish to climb the mound and squeeze through the gap,	Si vous souhaitez monter le monticule et se faufiler à travers l'espace,	se glisser par l'ouverture	26	escalader le monticule de terre et se glisser par l'étroite ouverture	
81	91	2	If you decide to call off the search, you can return to the surface, remount your horses, and descend the hill track by	Si vous décidez d'appeler au large de la recherche, vous pouvez revenir à la surface, vos chevaux remonter et descendre la piste de la colline par	l'ignorer et ressortir	22	renoncer à l'exploration, revenir à la surface, remonter sur les chevaux et descendre la piste de la colline	
83	92	3	If you wish to enter the tavern,	Si vous souhaitez entrer dans la taverne,	entrer dans la taverne	22	entrer dans la taverne	
84	92	3	If you decide to continue along the street,	Si vous décidez de continuer dans la rue,	continuer dans la rue	21	continuer dans la rue	
85	95	2	If you wish to say that you are a Kai Lord and that your men are Border Rangers of Sommerlund,	Si vous voulez dire que vous êtes Kai Seigneur et que vos hommes sont Rangers frontaliers de Sommerlund,	dire qui nous sommes	20	dire que nous sommes Seigneur Kai et que nos hommes sont des Patrouilleurs frontaliers du Sommerlund	
86	95	2	If you wish to show them your Badge of Rank,	Si vous souhaitez les montrer votre insigne de grade,	montrer l'insigne de notre rang	31	leur montrer l'insigne de notre rang	
87	101	2	If you wish to row across to the other bank and take the west tunnel,	Si vous souhaitez à la ligne sur l'autre rive et prendre le tunnel ouest,	prendre le tunnel ouest de l'autre rive	39	accoster sur l'autre rive et prendre le tunnel ouest	
88	101	2	If you wish to take the boat and continue south via the river,	Si vous souhaitez prendre le bateau et continuez vers le sud par la rivière,	poursuivre sur la rivière vers le sud	37	prendre le bateau et continuez vers le sud par la rivière	
89	104	2	If you want to try to dive for the far side,	Si vous voulez essayer de plongée pour l'autre côté,	s'accrocher aux planches du pont	32	s'accrocher aux planches du pont	
90	104	2	If you wish to jump clear of the bridge and dive into the unknown depths of the mine shaft,	Si vous souhaitez sauter clair du pont et plongez dans les profondeurs inconnues de puits de mine,	plonger dans les profondeurs de la mine	39	sauter du pont et plonger dans les profondeurs inconnues du puits de la mine	
91	105	2	If you wish to attack the guards,	Si vous souhaitez attaquer les gardes,	attaquer les gardes	19	attaquer les gardes	
92	105	2	If you wish to raise your hands and surrender,	Si vous souhaitez lever la main et de se rendre,	se rendre	9	se rendre	
93	106	2	If you wish to leave Eshnar as quickly as possible,	Si vous souhaitez laisser Eshnar le plus rapidement possible,	quitter Eshnar aussi vite que possible	38	quitter Eshnar le plus rapidement possible	
94	106	2	If you decide to investigate the stables,	Si vous décidez d'enquêter sur les écuries,	fouiller les écuries	20	fouiller les écuries	
95	107	2	If you wish to follow him,	Si vous souhaitez le suivre,	le suivre	9	le suivre	oui
96	107	2	If you wish to continue towards the watchtower,	Si vous souhaitez continuer vers le mirador,	continuer vers la tour de guet	30	continuer vers la tour de guet	oui
97	108	2	You may evade combat at any time by dashing across the bridge and	Vous pouvez échapper à un combat à tout moment par fringant à travers le pont et	(ATM) traverser le pont	23	(à tout moment) fuir le combat en courant à travers le pont	
99	109	2	If you wish to search the cellar,	Si vous souhaitez rechercher la cave,	fouiller la cave	16	fouiller la cave	oui
100	109	2	If you wish to leave the hut,	Si vous souhaitez quitter la cabane,	quitter la cabane	17	quitter la cabane	oui
101	111	2	If you wish to fight him,	Si vous souhaitez le combattre,	le combattre	12	le combattre	oui
102	111	2	If you wish to evade combat,	Si vous souhaitez échapper à un combat,	prendre la fuite	16	prendre la fuite	oui
104	113	4	If you have yet to reach this level of Kai training, you can launch a surprise attack on the bandits and	Si vous avez encore atteint ce niveau de formation Kai, vous pouvez lancer une attaque surprise sur les bandits et	attaquer les bandits par surprise	33	lancer une attaque surprise sur les bandits	
105	113	4	If you would rather try to sneak across the river under the cover of the many large boulders that divert the watercourse,	Si vous préférez essayer de se faufiler à travers la rivière sous le couvert de nombreux gros rochers qui dévient le cours d'eau,	traverser la rivière en cachette	32	traverser la rivière à l'abri des rochers	
106	113	4	If you would rather avoid crossing here and head back the way you have just come,	Si vous préférez éviter de traverser ici et retourner la façon dont vous venez de venir,	rebrousser chemin	17	rebrousser chemin pour ne pas traverser ici	
107	115	2	If you wish to land at the steps and investigate the tunnel,	Si vous souhaitez atterrir sur les marches et enquêter sur le tunnel,	accoster pour explorer le tunnel	32	accoster au pied de l'escalier et explorer le tunnel	
108	115	2	If you wish to continue south by the river,	Si vous souhaitez continuer vers le sud par la rivière,	continuer vers le sud par la rivière	36	continuer vers le sud par la rivière	
110	118	3	If you wish to ascend the stairs,	Si vous souhaitez monter les escaliers,	monter les escaliers	20	monter les escaliers	
111	118	3	If you wish to descend the stairs,	Si vous souhaitez descendre les escaliers,	descendre les escaliers	23	descendre les escaliers	
112	119	2	If you wish to enter into combat with this warrior lord,	Si vous souhaitez entrer en combat avec ce seigneur guerrier,	engager le combat	17	engager le combat avec ce Seigneur de Guerre	oui
113	119	2	If you wish to try to free Madelon,	Si vous souhaitez essayer de Madelon gratuitement,	essayer de libérer Madelon	26	essayer de libérer Madelon	oui
114	120	2	If you wish to continue south,	Si vous souhaitez continuer vers le sud,	continuer vers le sud	21	continuer vers le sud	
115	120	2	If you decide to go east,	Si vous décidez d'aller à l'est,	aller vers l'est	16	aller vers l'est	
116	124	2	If you wish to stand and fight the horseman,	Si vous souhaitez lever et combattre le cavalier,	combattre le cavalier	21	combattre le cavalier	oui
117	124	2	If you wish to run back to the watchtower,	Si vous souhaitez courir à la tour de guet,	courir à la tour de garde	25	courir à la tour de guet	oui
118	127	2	If you wish to help the ranger who is pinned to the floor,	Si vous souhaitez aider le ranger qui est clouée au sol,	aider le patrouilleur au sol	28	aider le patrouilleur qui est cloué au sol	
119	127	2	If you wish to help the ranger who is fighting at the bottom of the stairs,	Si vous souhaitez aider le ranger qui se bat au bas de l'escalier,	aider celui qui se bat	22	aider le patrouilleur qui se bat au bas de l'escalier	
120	130	2	If you wish to return to the boathouse,	Si vous souhaitez revenir au hangar à bateaux,	revenir au hangar à bateaux	27	revenir au hangar à bateaux	
121	130	2	If you wish to continue following the river towards the east,	Si vous souhaitez continuer à suivre la rivière vers l'est,	continuer à suivre la rivière vers l'est	40	continuer à suivre la rivière vers l'est	
122	132	2	If you feel uneasy about the tavern and wish to leave town,	Si vous vous sentez mal à l'aise au sujet de la taverne et que vous souhaitez quitter la ville,	ne pas rester à la taverne	26	ne pas rester à la taverne	
123	132	2	If you wish to question the old woman,	Si vous souhaitez interroger la vieille femme,	interroger la vieille femme	27	interroger la vieille femme	
125	133	3	You may evade combat at any time by running towards Ruanon.	Vous pouvez échapper à un combat à tout moment en cours d'exécution vers Ruanon.	(ATM) courir vers Ruanon	24	(à tout moment) fuir le combat en courant vers Ruanon	
127	134	2	If you wish to enter the mine,	Si vous souhaitez entrer dans la mine,	entrer dans la mine	19	entrer dans la mine	
128	134	2	If you decide to call off your search, return along the hill track and	Si vous décidez d'appeler votre recherche, retour le long de la piste de colline et	retourner au sentier de la colline	34	renoncer à l'exploration et retourner au sentier de la colline	
129	135	3	If you wish to counterattack the bandits in the hope that your bold action will scare them off,	Si vous souhaitez contre-bandits dans l'espoir que votre action audacieuse va les effrayer,	attaquer les bandits	20	contreattaquer les bandits en espérant les effrayer	
130	135	3	If you wish to split your company, detaching a group of ten rangers to follow you whilst sending the remainder off towards the west in the hope of luring the bulk of the bandit horde away to the Durncrag Mountains,	Si vous souhaitez partager votre entreprise, détacher un groupe de dix gardes à vous suivre tout en envoyant le reste de vers l'ouest dans l'espoir d'attirer la plus grande partie du bandit horde loin des montagnes Durncrag,	répartir les hommes en deux groupes	35	séparer les hommes en deux groupes, partir avec un groupe de dix gardes d'un côté tout en envoyant le reste vers l'ouest dans l'espoir d'attirer les bandits vers les monts Durncrag	
131	135	3	If you wish to head south at the gallop, to try to reach the shelter of the Ruanon Forest before the bandits close in,	Si vous souhaitez aller vers le sud au galop, pour essayer d'atteindre l'abri de la forêt Ruanon avant que les bandits près de,	galoper tous vers la forêt au sud	33	galoper vers le sud pour atteindre l'abri de la forêt	
134	138	2	You can evade combat at any time by running into the tunnel on this level.	Vous pouvez échapper à un combat à tout moment en cours d'exécution dans le tunnel à ce niveau.	(ATM) se ruer dans le tunnel	28	(à tout moment) fuir le combat en se précipitant dans le tunnel à ce niveau	
136	139	3	If you wish to send three more scouts into the wooded valley,	Si vous souhaitez envoyer trois éclaireurs dans la vallée boisée,	envoyer 3 éclaireurs dans la vallée	35	envoyer trois éclaireurs dans la vallée boisée	
137	139	3	If you wish to wait until dawn before you investigate their disappearance,	Si vous souhaitez attendre jusqu'à l'aube avant enquêtez leur disparition,	attendre l'aube pour enquêter	29	attendre l'aube avant d'enquêter sur leur disparition	
138	139	3	If you decide that it is far too dangerous to stay here, you can still ride east towards the town of Eshnar by	Si vous décidez qu'il est beaucoup trop dangereux de rester ici, vous pouvez toujours est monter vers la ville de Eshnar par	repartir vers l'est pour Eshnar	31	repartir vers l'est en direction de Eshnar	
139	140	2	If you wish to venture through the trees to the right of the highway,	Si vous souhaitez vous aventurer à travers les arbres à droite de l'autoroute,	passer par la droite	20	s'aventurer à travers les arbres à droite de la grand-route	oui
140	140	2	If you wish to pass through the trees to the left,	Si vous souhaitez passer à travers les arbres à gauche,	passer par la gauche	20	passer à travers les arbres à gauche	oui
141	142	2	If you wish to try to enter the temple through the guarded crypt door,	Si vous souhaitez essayer d'entrer dans le temple par la porte gardée crypte,	entrer par la porte gardée	26	essayer d'entrer dans le temple par la porte gardée de la crypte	oui
142	142	2	If you wish to try to enter the temple via the unguarded marble stairs,	Si vous souhaitez essayer d'entrer dans le temple par l'escalier en marbre non surveillé,	entrer par l'escalier non surveillé	35	essayer d'entrer dans le temple par l'escalier en marbre non surveillé	oui
145	145	2	If you wish to rest in the hut,	Si vous souhaitez vous reposer dans la cabane,	se reposer dans la cabane	25	se reposer dans la cabane	
146	145	2	If you wish to press on regardless of fatigue,	Si vous souhaitez presse indépendamment de la fatigue,	poursuivre sans se reposer	26	poursuivre, sans tenir compte de la fatigue	
147	150	3	If you wish to send your men in search of the missing horses,	Si vous souhaitez envoyer vos hommes à la recherche des chevaux disparus,	envoyer rechercher les chevaux	30	envoyer des hommes à la recherche des chevaux disparus	
148	150	3	If you wish to follow the footprints into the mine,	Si vous souhaitez suivre les traces dans la mine,	suivre les traces de pas vers la mine	37	suivre les traces de pas dans la mine	
149	150	3	If you wish to call off the search, you can return along the hill track by	Si vous souhaitez annuler la recherche, vous pouvez revenir sur la piste de la colline par	retourner au sentier de la colline	34	renoncer à l'exploration et retourner au sentier de la colline	
150	151	2	If you wish to signal to your men to attack the guards,	Si vous souhaitez signaler à vos hommes pour attaquer les gardes,	faire signe d'attaquer les gardes	33	faire signe à nos hommes pour attaquer les gardes	
151	151	2	If you wish to try to lure them into the tunnel and capture them alive,	Si vous souhaitez essayer de les attirer dans le tunnel et les capturer vivants,	les attirer pour les capturer vivants	37	essayer de les attirer dans le tunnel et de les capturer vivants	
152	156	2	If you wish to climb the ladder to the level above	Si vous souhaitez gravir les échelons au niveau supérieur	gravir les échelons	19	gravir les échelons vers le niveau supérieur	
153	156	2	If you decide to retrace your steps back to the previous chamber and take the south tunnel,	Si vous décidez de revenir sur vos pas en arrière à la chambre précédente et prendre le tunnel sud,	retourner au tunnel vers le sud	31	rebrousser chemin pour prendre le tunnel vers le sud	
154	160	3	If you wish to open the door and enter,	Si vous souhaitez ouvrir la porte et entrer,	ouvrir la porte et entrer	25	ouvrir la porte et entrer	
