indx	section	hits	choices (récupérés des fichiers html sur base de la classe "choice")	traduction auto (via google translate)	choix remaniés (manuellement à la mimine)	nb.car	choix remaniés (manuellement à la mimine avant raccourcissement)	RAF
155	160	3	If you wish to draw your weapon and kick open the door,	Si vous souhaitez attirer votre arme et coup de pied la porte,	dégainer et ouvrir la porte du pied	35	dégainer et donner un coup de pied la porte	
156	160	3	If you wish to send your rangers into the hut,	Si vous souhaitez envoyer vos gardes dans la cabane,	envoyer des gardes dans la cabane	33	envoyer des gardes dans la cabane	
157	161	3	If you wish to leap from the wagon and run to the left,	Si vous souhaitez sauter du wagon et de courir vers la gauche,	sauter du wagon et courir à gauche	34	sauter du wagon et courir vers la gauche	
158	161	3	If you wish to jump from the wagon and run to the right,	Si vous souhaitez sauter du wagon et courir à droite,	sauter du wagon et courir à droite	34	sauter du wagon et courir vers la droite	
159	161	3	If you decide to ignore the command and stay where you are,	Si vous décidez d'ignorer la commande et le séjour où vous êtes,	ignorer l'ordre et rester sur place	35	ignorer la commande et rester sur place	
160	162	2	If you wish to go west,	Si vous souhaitez aller vers l'ouest,	aller vers l'ouest	18	aller vers l'ouest	
161	162	2	If you wish to go south,	Si vous souhaitez aller vers le sud,	aller vers le sud	17	aller vers le sud	
162	164	2	If you wish to rally your men to stand and fight,	Si vous souhaitez rallier vos hommes de se lever et se battre,	rassembler les hommes pour le combat	36	rassembler les hommes pour le combat	
163	164	2	If you decide to order a hasty retreat into the mine,	Si vous décidez de commander une retraite hâtive dans la mine,	ordonner une retraite dans la mine	34	ordonner une retraite dans la mine	
164	165	2	If you wish to accept the meal,	Si vous souhaitez accepter le repas,	accepter le repas	17	accepter le repas	
165	165	2	If you decline the food, you must now eat a Meal from your Backpack or lose 3	Si vous refusez la nourriture, vous devez maintenant manger un repas de votre sac à dos ou perdre 3	en prendre un du sac ou perdre 3	32	refuser la nourriture (et manger un repas du sac à dos ou perdre 3)	
166	170	2	If you wish to descend the staircase,	Si vous souhaitez descendre l'escalier,	descendre les escaliers	23	descendre les escaliers	
167	170	2	If you wish to continue along the passage,	Si vous souhaitez continuer le long du passage,	continuer le long du passage	28	continuer le long du passage	
168	171	2	If you wish to stop at the tavern for the night,	Si vous souhaitez arrêter à la taverne pour la nuit,	rester à la taverne pour la nuit	32	rester à la taverne pour la nuit	
169	171	2	If you decide to brave a possible storm and continue to ride south,	Si vous décidez de braver une tempête possible et continuer à rouler au sud,	braver la possible tempête et continuer	39	braver la tempête possible et continuer vers le sud	
171	182	3	If you do not possess these skills but still wish to give chase,	Si vous ne possédez pas ces compétences mais qui souhaitent toujours donner la chasse,	donner la chasse quand-même	27	donner la chasse quand-même	
172	182	3	If you decide to let him go, return to your men by	Si vous décidez de le laisser aller, retour à vos hommes par	le laisser partir	17	le laisser aller et retourner à nos hommes	
173	184	2	If you wish to fight them,	Si vous souhaitez les combattre,	les combattre	13	les combattre	
174	184	2	If you wish to dive over the parapet of the bridge to avoid them,	Si vous souhaitez plonger sur le parapet du pont pour les éviter,	plonger du pont pour les éviter	31	plonger sur le parapet du pont pour les éviter	
175	186	2	You can evade combat at any time by jumping from the wagon.	Vous pouvez échapper à un combat à tout moment en sautant du wagon.	(ATM) sauter du chariot	23	(à tout moment) fuir le combat en sautant du chariot	oui
177	191	2	If you wish to examine the wagon,	Si vous souhaitez examiner le chariot,	examiner le chariot	19	examiner le chariot	
178	191	2	If you decide to ignore the wreck, you can continue your ride south along the highway, by	Si vous décidez d'ignorer l'épave, vous pouvez continuer votre sud balade le long de la route, par	l'ignorer et continuer vers le sud	34	ignorer l'épave, continuer vers le sud par la route	
179	195	3	If you wish to question the tavern-keeper about the nature of the bandit raids,	Si vous souhaitez interroger la tavernier sur la nature des raids de bandits,	interroger le tavernier sur les bandits	39	interroger le tavernier sur les raids de bandits	
180	195	3	If you wish to question him about any news that he may have heard about Ruanon in the last month, then	Si vous souhaitez l'interroger sur des nouvelles qu'il a peut-être entendu parler Ruanon dans le dernier mois, puis	l'interroger au sujet de Ruanon	31	l'interroger sur ce qu'il a peut-être entendu au sujet de Ruanon dans le dernier mois	
181	195	3	If you do not wish to question the man further, you can prepare for a night’s sleep and	Si vous ne souhaitez pas interroger l'homme plus loin, vous pouvez préparer un sommeil de nuit et	ne pas l'interroger plus et aller dormir	40	ne pas interroger l'homme plus en avant et se préparer pour une bonne nuit de sommeil	
182	197	3	If you wish to search them,	Si vous souhaitez les rechercher,	les fouiller	12	les fouiller	
183	197	3	If you wish to question them,	Si vous souhaitez les interroger,	les interroger	14	les interroger	
184	197	3	If you wish to leave them and continue on your way,	Si vous souhaitez les laisser et continuer sur votre chemin,	les laisser et continuer	24	les laisser et continuer	
185	199	2	If you wish to sprint across the bridge,	Si vous souhaitez sprint sur le pont,	traverser le pont en courant	28	traverser le pont en courant	
186	199	2	If you wish to attack the guard to prevent him from reaching the rope,	Si vous souhaitez attaquer la garde pour l'empêcher d'atteindre la corde,	empêcher le garde d'atteindre la corde	38	attaquer le gardien pour l'empêcher d'atteindre la corde	
188	200	3	If you wish to fight the bandits,	Si vous souhaitez combattre les bandits,	combattre les bandits	21	combattre les bandits	
189	200	3	If you wish to evade them, you must run across the open plain towards Ruanon—eight hundred yards away.	Si vous souhaitez les éviter, vous devez courir à travers la plaine ouverte vers Ruanon-huit cents verges.	traverser 800m de plaine à découvert	36	les éviter, en courant 800m à travers la plaine ouverte vers Ruanon	
190	202	2	You can evade combat at any time by leaping from the bridge.	Vous pouvez échapper à un combat à tout moment en sautant du pont.	(ATM) sauter du pont	20	(à tout moment) fuir le combat en sautant du pont	
192	203	2	If you wish to fight them,	Si vous souhaitez les combattre,	les combattre	13	les combattre	
193	203	2	If you wish to escape across the bridge,	Si vous souhaitez échapper à travers le pont,	s'échapper à travers le pont	28	s'échapper à travers le pont	
194	206	2	If you wish to enter the valley by the highway,	Si vous souhaitez entrer dans la vallée de l'autoroute,	entrer par la grand-route	25	entrer dans la vallée par la grand-route	
195	206	2	If you wish to enter the valley under the cover of the forest,	Si vous souhaitez entrer dans la vallée sous le couvert de la forêt,	entrer sous le couvert de la forêt	34	entrer dans la vallée sous le couvert de la forêt	
198	210	3	If you wish to follow your instincts,	Si vous souhaitez suivre votre instinct,	suivre notre instinct	21	suivre notre instinct	
199	210	3	If you wish to press on regardless of your instincts, you can investigate the tavern by	Si vous souhaitez presse quel que soit votre instinct, vous pouvez enquêter sur la taverne	entrer dans la taverne quand-même	33	ne pas suivre notre instinct et entrer dans la taverne	
200	210	3	If you wish to continue along the street,	Si vous souhaitez continuer le long de la rue,	continuer dans la rue	21	continuer dans la rue	
202	212	2	If you do not possess this skill, search for an exit from the chamber and	Si vous ne possédez pas cette compétence, la recherche d'une sortie de la chambre et	chercher une issue à la salle	29	chercher une issue à la salle	
203	214	2	If you wish to run along the tunnel to avoid the spores,	Si vous souhaitez exécuter le long du tunnel pour éviter les spores,	se ruer vers le tunnel	22	se précipiter dans le tunnel pour éviter les spores	
204	214	2	If you decide to go back to the chamber and take the south tunnel,	Si vous décidez de revenir à la chambre et prendre le tunnel sud,	retourner au tunnel vers le sud	31	rebrousser chemin pour prendre le tunnel vers le sud	
205	215	2	If you wish to draw your weapon and attack Barraka,	Si vous souhaitez attirer votre arme et attaquer Barraka,	dégainer et attaquer Barraka	28	dégainer et attaquer Barraka	oui
206	215	2	If you wish to distract his attention from the altar without attacking him,	Si vous souhaitez détourner son attention de l'autel sans l'attaquer,	juste détourner son attention	29	détourner son attention de l'autel sans l'attaquer	oui
207	216	2	If you wish to help the other ranger who is now being dragged from the boat by his foot,	Si vous souhaitez aider l'autre garde qui est maintenant traîné du bateau par son pied,	aider le patrouilleur	21	aider le patrouilleur qu'un tentacule essaye de tirer hors du bateau	
208	216	2	If you wish to grab the oars and row for the other side of the river,	Si vous souhaitez saisir les rames et la ligne de l'autre côté de la rivière,	ramer vers la rive opposée	26	empoigner les rames et amener le bateau sur la rive opposée	
209	219	2	If you wish to examine the wagon,	Si vous souhaitez examiner le chariot,	examiner le chariot	19	examiner le chariot	
210	219	2	If you wish to ignore the wagon, begin to climb the steep tunnel by	Si vous souhaitez ignorer le wagon, commencer à monter le tunnel raide par	l'ignorer et grimper dans le tunnel	35	ignorer le wagon, commencer à monter le tunnel escarpé	
211	220	2	If you wish to fight the warrior,	Si vous souhaitez combattre le guerrier,	combattre le guerrier	21	combattre le guerrier	oui
212	220	2	If you wish to evade combat,	Si vous souhaitez échapper à un combat,	prendre la fuite	16	prendre la fuite	oui
213	221	3	If you wish to draw your weapon and prepare for combat,	Si vous souhaitez attirer votre arme et se préparer au combat,	dégainer et se préparer au combat	33	dégainer et se préparer au combat	
214	221	3	If you wish to flee from the bridge, run back along the tunnel and descend the stairs by	Si vous souhaitez fuir le pont, courir le long du tunnel et descendre les escaliers par	fuir par le tunnel et les escaliers	35	fuir le pont, courir le long du tunnel et descendre les escaliers	
215	221	3	If you would rather leap from the parapet of the bridge into the unknown depths of the chasm,	Si vous préférez sauter du parapet du pont dans les profondeurs inconnues du gouffre,	plonger dans les profondeurs du gouffre	39	sauter du pont et plonger dans les profondeurs inconnues du gouffre	
216	223	2	If you wish to fight the warrior,	Si vous souhaitez combattre le guerrier,	combattre le guerrier	21	combattre le guerrier	oui
217	223	2	If you wish to evade combat,	Si vous souhaitez échapper à un combat,	prendre la fuite	16	prendre la fuite	oui
219	224	3	If you wish to enter the left tunnel,	Si vous souhaitez entrer dans le tunnel à gauche,	entrer dans le tunnel de gauche	31	entrer dans le tunnel à gauche	
220	224	3	If you wish to enter the right tunnel,	Si vous souhaitez entrer dans le tunnel à droite,	entrer dans le tunnel de droite	31	entrer dans le tunnel à droite	
221	226	2	If you wish to continue making slow progress through the forest,	Si vous souhaitez continuer à progresser lentement à travers la forêt,	progresser lentement par la forêt	33	continuer à progresser lentement à travers la forêt	
222	226	2	If you decide to forsake the forest and press on along the highway instead,	Si vous décidez d'abandonner la forêt et presse sur le long de la route à la place,	l'ignorer et poursuivre par la route	36	ignorer la forêt et poursuivre sur la route	
223	227	2	If you decide to take a closer look at what they are eating,	Si vous décidez de regarder de plus près à ce qu'ils mangent,	examiner ce qu'ils mangent	26	regarder de plus près ce qu'ils mangent	
224	227	2	If you would rather ignore them and continue your ride,	Si vous préférez les ignorer et continuer votre tour,	les ignorer et continuer	24	les ignorer et continuer	
225	228	2	If you wish to enter the hall and advance towards the door,	Si vous souhaitez entrer dans la salle et l'avance vers la porte,	entrer et avancer vers la porte	31	entrer dans le hall et avancer vers la porte	
226	228	2	If you wish to make for the stairs,	Si vous souhaitez faire pour les escaliers,	se diriger vers les escaliers	29	se diriger vers les escaliers	
227	232	2	If you wish to investigate the boathouse,	Si vous souhaitez enquêter sur le hangar à bateaux,	fouiller le hangar à bateaux	28	fouiller le hangar à bateaux	
228	232	2	If you wish to continue downstream and look for some other way to cross the river,	Si vous souhaitez poursuivre en aval et chercher une autre façon de traverser la rivière,	chercher en aval où traverser	29	poursuivre en aval et chercher une autre façon de traverser la rivière	
229	235	2	If you wish to investigate the torchlit cavern,	Si vous souhaitez étudier la caverne torchlit,	explorer la caverne	19	explorer la caverne	oui
230	235	2	If you wish to take a look over the low balcony,	Si vous souhaitez jeter un oeil sur le balcon bas,	regarder vers le balcon plus bas	32	jeter un coup d'oeil vers le balcon plus bas	oui
231	236	2	If you wish to run straight into the forest,	Si vous souhaitez exécuter directement dans la forêt,	avancer tout droit dans la forêt	32	se précipiter dans la forêt	
232	236	2	If you want to change direction as soon as you are hidden from sight,	Si vous voulez changer de direction dès que vous êtes caché de la vue,	changer de direction dans la forêt	34	changer de direction dès qu'hors de vue	
233	241	2	If you wish to row across to the other bank, abandon the boat and continue on foot,	Si vous souhaitez à la ligne sur l'autre rive, abandonner le bateau et continuer à pied,	continuer à pied sur l'autre rive	33	accoster sur l'autre rive, abandonner le bateau et continuer à pied	
234	241	2	If you wish to continue by river,	Si vous souhaitez continuer par la rivière,	continuer sur la rivière	24	continuer sur la rivière	
236	244	3	If you do not possess either of these skills, you may enter the left tunnel by	Si vous ne possédez aucune de ces compétences, vous pouvez entrer dans le tunnel à gauche par	entrer dans le tunnel de gauche	31	entrer dans le tunnel de gauche	
237	244	3	Or, if you wish, you may enter the right tunnel by	Ou, si vous le souhaitez, vous pouvez entrer dans le tunnel à droite par	entrer dans le tunnel de droite	31	entrer dans le tunnel à droite	
238	245	2	If you wish to escape from the chamber by ascending the stairs,	Si vous souhaitez échapper à la chambre en remontant l'escalier,	monter l'escalier	17	quitter les lieux en montant l'escalier	
239	245	2	If you wish to leave by descending the stairs,	Si vous souhaitez laisser en descendant les escaliers,	descendre l'escalier	20	quitter les lieux en descendant les escaliers	
242	251	3	If you wish to search the highway ahead,	Si vous souhaitez rechercher la route à venir,	poursuivre sur la grand-route	29	poursuivre sur la grand-route	
243	251	3	If you wish to examine the burnt-out wagon,	Si vous souhaitez examiner le wagon grillée,	examiner les débris du chariot	30	examiner les débris du chariot	
244	251	3	If you wish to explore the eastern track,	Si vous souhaitez explorer la piste de l'Est,	explorer le sentier de l'est	28	explorer le sentier de l'est	
245	252	2	If you wish to investigate the boathouse,	Si vous souhaitez enquêter sur le hangar à bateaux,	fouiller le hangar à bateaux	28	fouiller le hangar à bateaux	
246	252	2	If you wish to continue downstream and look for some other way of crossing the river,	Si vous souhaitez poursuivre en aval et chercher une autre façon de traverser la rivière,	chercher en aval où traverser	29	poursuivre en aval et chercher une autre façon de traverser la rivière	
250	254	3	If you do not possess this skill, you may enter the east tunnel by	Si vous ne possédez pas cette compétence, vous pouvez entrer dans le tunnel est par	entrer dans le tunnel est	25	entrer dans le tunnel est	
251	254	3	Alternatively you can enter the south tunnel by	Sinon, vous pouvez entrer dans le tunnel sud par	entrer dans le tunnel sud	25	entrer dans le tunnel sud	
252	257	2	If you wish to examine the chest,	Si vous souhaitez examiner la poitrine,	examiner le coffre	18	examiner le coffre	
253	257	2	If you wish to ignore it and investigate the door,	Si vous souhaitez l'ignorer et d'enquêter sur la porte,	l'ignorer et étudier la porte	29	l'ignorer et étudier la porte	
256	258	3	If you do not have this Special Item or this Discipline and Kai Rank, dive into the tall crops and hide by	Si vous ne disposez pas de ce point spécial ou cette discipline et Kai Rank, plonger dans les cultures hautes et se cacher par	se cacher dans les hautes cultures	34	plonger et se cacher dans les hautes cultures	oui
257	263	2	If you wish to press on through the trees towards the south,	Si vous souhaitez appuyer sur à travers les arbres vers le sud,	poursuivre vers le sud par la forêt	35	poursuivre à travers les arbres vers le sud	
258	263	2	If you wish to change direction and head west,	Si vous souhaitez changer de direction ouest et la tête,	aller plutôt vers l'ouest	25	changer de direction et se diriger vers l'ouest	
259	264	2	If you wish to follow the prints,	Si vous souhaitez suivre les impressions,	suivre les empreintes	21	suivre les empreintes	
260	264	2	If you wish to head in the opposite direction to the tracks,	Si vous souhaitez la tête dans la direction opposée aux pistes,	aller à l'opposée des traces	28	se diriger dans la direction opposée aux traces	
261	268	3	If you wish to examine the iron door,	Si vous souhaitez examiner la porte de fer,	examiner la porte de fer	24	examiner la porte de fer	
262	268	3	If you wish to ascend the spiral stairs,	Si vous souhaitez monter l'escalier en colimaçon,	monter l'escalier en colimaçon	30	monter l'escalier en colimaçon	
263	268	3	If you wish to descend the spiral stairs,	Si vous souhaitez descendre l'escalier en colimaçon,	descendre l'escalier en colimaçon	33	descendre l'escalier en colimaçon	
266	270	4	If you have neither of these items, you can continue your way forward in darkness and	Si vous avez aucun de ces éléments, vous pouvez continuer votre chemin vers l'avant dans l'obscurité et	continuer dans l'obscurité	26	continuer vers l'avant dans l'obscurité	oui
267	270	4	Alternatively, you can leave the vault and attempt to enter the temple via the crypt door by	Vous pouvez également laisser la voûte et tenter d'entrer dans le temple par la porte par la crypte	entrer dans le temple par la crypte	35	quitter les lieux et tenter d'entrer le temple par la porte de la crypte	oui
268	273	2	If you wish to stop to question these travelling minstrels,	Si vous souhaitez arrêter de remettre en question ces ménestrels de voyage,	arrêter et questionner ces ménestrels	37	arrêter de questionner ces ménestrels	
269	273	2	If you wish to ignore them and let them pass,	Si vous souhaitez les ignorer et les laisser passer,	les ignorer et les laisser passer	33	les ignorer et les laisser passer	
272	276	2	If you wish to stand and fight the Stoneworm,	Si vous souhaitez rester et combattre le Stoneworm,	rester et combattre le Ver de Pierre	36	rester et combattre le Ver de Pierre	
273	276	2	If you wish to escape from the chamber, you run back to the ladder and	Si vous souhaitez échapper à la chambre, vous Repartez à l'échelle et	retourner à l'échelle	21	quitter les lieux en retournant à l'échelle	
274	278	2	If you wish to press on through the trees towards the south,	Si vous souhaitez appuyer sur à travers les arbres vers le sud,	poursuivre vers le sud par la forêt	35	poursuivre à travers les arbres vers le sud	
275	278	2	If you wish to change direction and head west,	Si vous souhaitez changer de direction ouest et la tête,	aller plutôt vers l'ouest	25	changer de direction et se diriger vers l'ouest	
276	284	2	You can evade combat at any time by	Vous pouvez échapper à un combat à tout moment	(ATM) fuir le combat	20	(à tout moment) fuir le combat	
278	288	2	If you wish to climb the mound of earth and squeeze through the narrow gap between the top of the mound and the ceiling,	Si vous souhaitez monter le monticule de terre et de se faufiler à travers l'espace étroit entre le sommet de la butte et le plafond,	se glisser par l'ouverture	26	escalader le monticule de terre et se glisser par l'étroite ouverture	
279	288	2	If you decide to call off the search and return to the mine entrance,	Si vous décidez d'appeler de la recherche et retourner à l'entrée de la mine,	retourner à l'entrée de la mine	31	renoncer à l'exploration et retourner à l'entrée de la mine	
281	289	3	If you wish to help the captain,	Si vous souhaitez aider le capitaine,	aider le capitaine	18	aider le capitaine	oui
282	289	3	If you wish to rally the defenders before the enemy reach the barricade,	Si vous souhaitez rallier les défenseurs devant l'ennemi atteignent la barricade,	rassembler les soldats	22	rassembler les soldats avant que l'ennemi n'atteigne la barricade	oui
283	290	3	If you wish to signal your men to attack the robed strangers,	Si vous souhaitez signaler vos hommes pour attaquer les étrangers robed,	faire signe d'attaquer les étrangers	36	faire signe à nos hommes pour attaquer les étrangers	
284	290	3	If you wish to try to capture them alive,	Si vous souhaitez essayer de les capturer vivants,	essayer de les capturer vivants	31	essayer de les capturer vivants	
285	290	3	If you decide to sheathe your weapon and approach them, your hand extended in a gesture of friendship,	Si vous décidez de rengainer votre arme et les approcher, votre main tendue dans un geste d'amitié,	rengainer notre arme en signe de paix	37	rengainer notre arme et les approcher, main tendue dans un geste d'amitié	
287	291	3	If you do not possess this skill, you can draw your weapon, open the door, and	Si vous ne possédez pas cette compétence, vous pouvez dessiner votre arme, ouvrez la porte, et	dégainer et ouvrir la porte	27	dégainer et ouvrir la porte	
288	291	3	Alternatively you can retrace your steps back to the gallery and take the other exit by	Sinon, vous pouvez revenir sur vos pas en arrière à la galerie et de prendre l'autre par la sortie	retourner vers l'autre sortie	29	rebrousser chemin jusqu'à la galerie et prendre l'autre sortie	
289	292	2	If you wish to press on towards the south,	Si vous souhaitez appuyer sur vers le sud,	poursuivre vers le sud	22	poursuivre vers le sud	
290	292	2	If you want to change direction and head west,	Si vous voulez changer l'ouest de direction et de la tête,	aller plutôt vers l'ouest	25	changer de direction et se diriger vers l'ouest	
291	297	2	If you wish to try to cross the river further upstream to the west,	Si vous souhaitez essayer de traverser la rivière en amont à l'ouest,	chercher en amont/à l'ouest où traverser	40	essayer de traverser la rivière en amont, à l'ouest	
292	297	2	If you wish to try to cross the river downstream, to the east,	Si vous souhaitez essayer de traverser la rivière en aval, à l'est,	chercher en aval/à l'est où traverser	37	essayer de traverser la rivière en aval, à l'est	
293	307	2	If you wish to quicken your pace and try to outrun them,	Si vous souhaitez accélérer votre rythme et essayer de les distancer,	accélérer pour les distancer	28	accélérer et essayer de les distancer	
294	307	2	If you wish to stop and fight them,	Si vous souhaitez arrêter et de les combattre,	les arrêter et les combattre	28	les arrêter et les combattre	
295	311	2	If you wish to attack the bandit warrior,	Si vous souhaitez attaquer le guerrier bandit,	attaquer le Guerrier Pillard	28	attaquer le Guerrier Pillard	oui
296	311	2	If you wish to rally the Sommlending soldiers to repel the advancing spearmen,	Si vous souhaitez rallier les soldats Sommlending pour repousser les lanciers qui avancent,	rassembler les soldats	22	rassembler les soldats Sommerlund pour repousser l'avancée des lanciers	oui
297	314	2	If you wish to enter the hut,	Si vous souhaitez entrer dans la cabane,	entrer dans la cabane	21	entrer dans la cabane	oui
298	314	2	If you do not wish to enter the hut, continue your mission by	Si vous ne souhaitez pas entrer dans la cabane, continuer votre mission en	ne pas y entrer et poursuivre	29	ne pas entrer dans la cabane et continuer la mission	oui
300	315	3	If you wish to go left,	Si vous souhaitez aller à gauche,	aller à gauche	14	aller à gauche	
301	315	3	If you wish to go right,	Si vous souhaitez aller à droite,	aller à droite	14	aller à droite	
302	316	2	You may evade combat at any time by diving into the River Xane.	Vous pouvez échapper à un combat à tout moment en plongeant dans la rivière Xane.	(ATM) plonger dans la rivière Xane	34	(à tout moment) fuir le combat en plongeant dans la rivière Xane	
304	320	2	If you wish to search them,	Si vous souhaitez les rechercher,	les fouiller	12	les fouiller	
305	320	2	If you wish to question them,	Si vous souhaitez les interroger,	les interroger	14	les interroger	
306	322	2	If you wish to take the west tunnel,	Si vous souhaitez prendre le tunnel ouest,	prendre le tunnel ouest	23	prendre le tunnel ouest	
307	322	2	If you wish to take the south tunnel,	Si vous souhaitez prendre le tunnel sud,	prendre le tunnel sud	21	prendre le tunnel sud	
308	324	2	If you wish to use the front door,	Si vous souhaitez utiliser la porte d'entrée,	passer par la porte	19	passer par la porte	
309	324	2	If you wish to jump from the first-floor window,	Si vous souhaitez sauter de la fenêtre du premier étage,	sauter du balcon du premier étage	33	sauter du balcon du premier étage	
310	330	3	If you wish to search the wrecked wagon,	Si vous souhaitez rechercher le wagon naufragé,	fouiller les débris du chariot	30	fouiller les débris du chariot	
311	330	3	If you wish to ignore the wagon and press on along the highway,	Si vous souhaitez ignorer le chariot et appuyez sur le long de la route,	l'ignorer et poursuivre sur la route	36	ignorer le chariot et poursuivre sur la route	
312	330	3	If you wish to investigate the track that leads up into the hills,	Si vous souhaitez enquêter sur la piste qui mène dans les collines,	explorer le sentier menant aux collines	39	explorer le sentier qui mène dans les collines	
314	331	2	If you do not have this skill, you can search for an exit from the chamber and	Si vous ne possédez pas cette compétence, vous pouvez rechercher une sortie de la chambre et	chercher une issue à la salle	29	chercher une issue à la salle	